,4348481
二〇一十六,1
七二〇一五,2015
二O一五四,1
二O一六五,2
二o一四五,1
二〇一四○,2014
二零一七,2017
二二○0九,2009
二零-五,2015
二Ο,1
五二○一六,2016
一二Ｏ一四,2014
十五二○一六,2016
二○十三月七,1
二0Ο一六,2016
二二○一七,2017
二〇一三月,1
二〇二○一四,2014
二ο一六,2016
二Ｏ—三,2013
二0一六七,6
二〇０一五,2015
十二○一三,2013
二〇一六七,6
二〇一六一,1
二〇四三,2
二o一六五,2016
一一一一二○一五,2015
二○00,2000
二一七,2017
二○一四五,6
二o一二o一六,2016
二0一l六,2016
二0一六二○一六,2016
二○一王,2
二O一四五,1
八二O一六,2016
二○〇一四,2014
二oo八,2008
二0一四三,1
二〇五五,1
二○O一六,2016
二0〇一四,2014
二○二0一五,2015
二○○七,2007
二○○一,2001
二○一六四,1
二0五,3
十五二〇一七,2017
二○○三,2003
四,4
二O一四二,1
二〇一X,8
二0○一七,2017
二G一四,2014
二○o一六,2016
二ＯＯ八,2008
○一六,2016
二○一五月,2015
二Ｏ二Ｏ一二,2012
二〇一五一,2015
二Ｏ－六,2016
〇一七,2017
二〇十六,2016
二〇一五七,2
二零一四一,1
二Ｏ一四二Ｏ一四,2014
二○一四九,2014
○二○一四,2014
二〇一五三,2015
二零0一六,2016
二〇零一六,1
二O一O六,1
二○一六十二,2016
二Ο〇一六,2016
二0一六五,5
二○一五八,1
二〇O一三,2
二二o一o,2010
o二O一六,2016
二00一六,2016
二〇二〇一六,2016
二〇O一七,2017
二O一0,2010
二(一五,2015
二〇0六,2006
二0〇一七,2017
二○一X,21
二〇一由,1
二0〇一三,2013
0二Ｏ一六,2016
二0一x,1
二○一o,2010
二○○四,2004
二O一六月,2016
二0一o,2010
二Ｏ〇一六,2016
o二〇一五,2015
0二○一五,2015
二Ｏ一六三,2016
二〇〇一四,2014
二〇月一四,2014
二０二０一二,2012
三〇一六,2016
二о一о,2010
十二Ｏ一六,2016
二Ｏ一六七,1
二O〇一四,2014
九二〇一六,2016
二○一五二0一三,1
二〇一七期,2017
二０〇九,2009
二○一○一,8
二〇七,11
二O,38
二○一○三,1
二○一〇,2010
二〇一二五,2
二○一○七,1
二O一O三,1
二〇XX,1
二〇0一五,2015
二ОО九,2009
二0一四五,3
二（0一四,2014
二O＋一六,2016
二○=一六,2016
二0○一六,2016
二〇一×,1
二O一X,2
二○○二,2002
一九九六,1996
二0二0一四,2014
二〇一七月,2017
二○O一三,2013
二００一六,2016
二○○五,2005
○一四,2014
二〇〇一五,2015
二〇一六十二,2016
二〇-六,2016
二0一五月,2015
三二O一三,2013
二○一六二○一六,2016
二&#12295;一六,2016
二○Ο一五,2015
二O〇一五,2015
二0—0,2010
二○一七月,2017
二О一О,2010
二○零一四,2014
二Ο一四二○一五,1
二О二О一五,2015
二○二○一三,2013
二0一四一五,3
二0Ｏ一六,2016
二〇十四,2014
一〇一六,2016
二Ｏ一四三,1
二〇○一五,2015
二〇一六,2016
二000,2000
二O-0,2010
二0一〇,2010
二O--,1
0一六,2016
二009,2009
二·一六,2016
二二〇一七,2017
二〇二〇一七,2017
二○-六,2016
二o○一六,2016
二〇O一六,2016
O一二O一五,2015
二0一二0,2012
0二0一六,2016
二二O一0,2010
二O二○一六,2016
二0一柳,2016
〇０一二,2012
二()一七,2017
二零一六二十,2016
二O六,7
二〇某六,1
二ΟΟ九,2009
二0一六月,2016
二二Ｏ一一,2011
0二Ｏ一七,2017
二零〇〇二,2002
○0000二○一六,2016
二○xx,6
二0一X,11
二О二О一四,2014
0二○一三,2013
二Ｏ一六五,2016
一九八九,1989
十二〇一六,2016
二O○一六,2016
二0一O,2010
二〇一八,9
二ΟΟ七,2007
二O一一三,3
二ΟΟ一,2001
二○一四二０一四,2014
二〇-七,2017
二〇零一五,2015
二0一五二○一五,2015
二〇十五,2015
二〇-三,2013
二ΟΟ三,2003
二◎一六,2016
二〇0一七,2017
二〇一三○,2013
二一0六,2016
二〇四四,1
二○一四六,1
二&#12295;一七,2017
二O一某,2
二O〇一三,2013
七二〇一六,2016
二0六,1
二一○一六,2016
O一六,2016
二О一Ο,2010
二ο一о,2010
二〇o一六,2016
一二O一五,2015
===========
null:2715
【一位】
五,2

【两位】
一一,2011
一七,2017
一三,2013
二Ｏ,1
一二,2012
一五,2015
一四,2014
二〇,3
二0,2
一六,2016

【三位】
二O一,1
〇一五,2015
二O五,2015
二O四,2014
〇一三,2013
二〇六,2016
○一五,2015
〇一六,2016
二一五,2015
二一二,2012
二〇三,2013
二〇一,15
二一四,2014
〇一四,2014
二一六,2016
二〇五,2015
二一三,2013
二一一,2011

【四位】
二○—四,2014
二〇O五,2005
二一〇三,2013
二零一五,2015
二〇〇八,2008
二Ｏ一三,2013
二0-三,2013
二Ο一三,2013
一九九九,1999
二Ｏ一七,2017
二Ο一七,2017
二Ｏ一一,2011
二○一六,2016
二O－四,2014
二0一六,2016
二〇一〇,2010
二О一六,2016
二〇一三,2013
二OO六,2006
二00七,2007
二0—六,2016
二0－四,2014
一九九二,1992
二〇一一,2011
二O-三,2013
二〇一七,2017
三〇一四,2014
二O一六,2016
二〇三四,2014
二００七,2007
二〇一无,2015
二００三,2003
二０一〇,2010
二０一三,2013
二０一七,2017
二（一三,2013
二０一一,2011
二○一○,2010
二零一三,2013
二O—O,2010
二o一五,2015
二о一五,2015
二Ｏ一五,2015
二Ο一六,2016
二o一二,2012
二0xx,20XX
二Ｏ一二,2012
二0—五,2015
二○－六,2016
二○—六,2016
二零一一,2011
二О一四,2014
二０一四,2014
二0—二,2012
二O一五,2015
二（一四,2014
二o一o,2010
二O一二,2012
二0-六,2016
二○一一,2011
二〇一二,2012
二○○九,2009
二〇一五,2015
二o一四,2014
二〇一x,1
一九九七,1997
二OO八,2008
一九九三,1993
二００八,2008
二0—四,2014
二O-六,2016
二00六,2006
二O一四,2014
二０一五,2015
二一〇六,2016
二00八,2008
二〇一九,2019
二０一二,2012
二（一五,2015
二О一五,2015
二〇〇六,2006
二００六,2006
二〇０九,2009
二ο一四,2014
二0一五,2015
二０一六,2016
二0一二,2012
二００二,2002
二（一六,2016
二o一三,2013
二Ｏ—五,2015
一○一三,2013
二００五,2005
二o-五,2015
二О〇八,2008
二o一一,2011
二〇〇九,2009
二0—三,2013
二一二四,2012
二〇－四,2014
二零一六,2016
二十一四,2014
二0—一,2011
二O一三,2013
二〇某四,2014
二O-二,2012
二〇一０,2010
二O一七,2017
二〇一伍,2015
二O一一,2011
二O-五,2015
二00五,2005
二0一四,2014
二Ｏ－四,2014
二Ｏ一四,2014
二○一三,2013
二ο一五,2015
二○一七,2017
二О一三,2013
二О一七,2017
二○一刘,2016
二００四,2004
二ΟΟ二,2002
二〇一四,2014
二o一六,2016
二零一四,2014
二○○八,2008
二○—五,2015
二&Omicron；一四,2014
二一〇五,2015
二００九,2009
二〇〇五,2005
二0-四,2014
二○一二,2012
二OO九,2009
二〇〇二,2002
二о一六,2016
二〇一六,2016
二Ｏ—四,2014
二○一五,2015
二ＯＯ九,2009
二00九,2009
二0一0,2010
二Ｏ一Ｏ,2010
二0－六,2016
一九九八,1998
二〇六五,2015
二〇〇三,2003
二〇××,1
二〇〇〇,2000
二Ο一四,2014
二O-四,2014
二０一０,2010
二o一0,2010
二O一O,2010
二&Omicron；一三,2013
二一〇四,2014
二〇〇七,2007
二〇〇一,2001
二00四,2004
二六一六,2016
二〇〇四,2004
二0一刘,2016
二ｏ一六,2016
二0一三,2013
二零一零,2010
二○一四,2014
二0-二,2012
二0一七,2017
二0一一,2011
二0-五,2015
二〇０七,2007
二Ｏ一六,2016
二Ο一五,2015

【五位】
二0一0六,2016
二二〇一五,2015
二0一二四,2012
二○O一五,2015
二○○一五,2015
二二0一七,2017
十二O一六,2016
二OO一四,2014
0二〇一五,2015
二○一三四,2013
二o一o五,2015
二〇一五月,2015
二〇一五＋,2015
二O一三四,2013
二○一一五,2015
二O〇一六,2016
二〇一月五,2015
二O一0五,2015
二0一三四,2013
二0一四六,2014
二0○一五,2015
二〇0一六,2016
二二0一六,2016
0二0一五,2015
二0一0二,2010
二二○一一,2011
二二○一三,2013
二一○一五,2015
二零一一五,2015
三二0一三,2013
二OO一六,2016
三二0一七,2017
二○一五＋,2015
二二〇一四,2014
二〇一四六,2014
二〇一三四,2013
二０一五,2015
二○一五六,2015
二0一五四,2015
二○0一三,2013
二〇一二四,2012
二二0一四,2014
三二0一五,2015
三二〇一六,2016
二○一0六,2016
二二○一五,2015
二0O一四,2014
二二○一四,2014
二○一四＋,2014
二○一二五,2012
二○一四月,2014
二○○一三,2013
一二〇一二,2012
二二○一六,2016
三二〇一七,2017
一二〇一三,2013
二〇一二三,2012
二○0一五,2015
二○一二四,2012
二二О一三,2013
二某○一六,2016
二0一五六,2015
二00一四,2014
二二〇一六,2016
二○〇一五,2015
二二〇一三,2013
二0O一五,2015
二O0一五,2015
二Ｏ一0四,2014
二〇一五六,2015
O二0一五,2015
二0〇一六,2016
一二〇一七,2017

【六位】
二0二0一七,2017
二O二O一五,2015
二○二○一六,2016
一一二○○八,2008
二0二0一五,2015
二О二О一六,2016
二O二O一七,2017
二O二○一五,2015
二○二○一四,2014
00二0一五,2015
二Ｏ二Ｏ一五,2015
二○二○一二,2012
二Ｏ二Ｏ一六,2016
二○二○一五,2015
OO二O一六,2016
二O二O一六,2016
二Ο二Ο一三,2013
二○二○一七,2017
二0二0一六,2016
二Ο二Ο一六,2016
二Ｏ二Ｏ一七,2017
二0二0一二,2012
二O一四十一,2014
二Ο二Ο一七,2017
一一二○○九,2009

【七位】
二0O一四一五,2014

【八位】
二＋〇＋一＋五＋,2015
二〇一三二0一三,2013
